image_idx,row_upper_left,column_upper_left,row_centre,column_centre,x_coordinate,y_coordinate,geometry
162,150,11850,225,11925,358625.1154461877,4730014.941377874,POINT (358625.1154461877 4730014.941377874)
163,150,12000,225,12075,358775.1154461877,4730014.941377874,POINT (358775.1154461877 4730014.941377874)
164,150,12150,225,12225,358925.1154461877,4730014.941377874,POINT (358925.1154461877 4730014.941377874)
165,300,0,375,75,346775.1154461877,4729864.941377874,POINT (346775.1154461877 4729864.941377874)
166,300,150,375,225,346925.1154461877,4729864.941377874,POINT (346925.1154461877 4729864.941377874)
167,300,300,375,375,347075.1154461877,4729864.941377874,POINT (347075.1154461877 4729864.941377874)
168,300,450,375,525,347225.1154461877,4729864.941377874,POINT (347225.1154461877 4729864.941377874)
169,300,600,375,675,347375.1154461877,4729864.941377874,POINT (347375.1154461877 4729864.941377874)
170,300,750,375,825,347525.1154461877,4729864.941377874,POINT (347525.1154461877 4729864.941377874)
171,300,900,375,975,347675.1154461877,4729864.941377874,POINT (347675.1154461877 4729864.941377874)
172,300,1050,375,1125,347825.1154461877,4729864.941377874,POINT (347825.1154461877 4729864.941377874)
173,300,1200,375,1275,347975.1154461877,4729864.941377874,POINT (347975.1154461877 4729864.941377874)
174,300,1350,375,1425,348125.1154461877,4729864.941377874,POINT (348125.1154461877 4729864.941377874)
175,300,1500,375,1575,348275.1154461877,4729864.941377874,POINT (348275.1154461877 4729864.941377874)
176,300,1650,375,1725,348425.1154461877,4729864.941377874,POINT (348425.1154461877 4729864.941377874)
177,300,1800,375,1875,348575.1154461877,4729864.941377874,POINT (348575.1154461877 4729864.941377874)
178,300,1950,375,2025,348725.1154461877,4729864.941377874,POINT (348725.1154461877 4729864.941377874)
179,300,2100,375,2175,348875.1154461877,4729864.941377874,POINT (348875.1154461877 4729864.941377874)
180,300,2250,375,2325,349025.1154461877,4729864.941377874,POINT (349025.1154461877 4729864.941377874)
181,300,2400,375,2475,349175.1154461877,4729864.941377874,POINT (349175.1154461877 4729864.941377874)
182,300,2550,375,2625,349325.1154461877,4729864.941377874,POINT (349325.1154461877 4729864.941377874)
183,300,2700,375,2775,349475.1154461877,4729864.941377874,POINT (349475.1154461877 4729864.941377874)
