image_idx,row_upper_left,column_upper_left,row_centre,column_centre,x_coordinate,y_coordinate,geometry
125,150,7350,225,7425,365396.3384976996,4729821.646813435,POINT (365396.3384976996 4729821.646813435)
126,150,7500,225,7575,365546.3384976996,4729821.646813435,POINT (365546.3384976996 4729821.646813435)
127,150,7650,225,7725,365696.3384976996,4729821.646813435,POINT (365696.3384976996 4729821.646813435)
128,150,7800,225,7875,365846.3384976996,4729821.646813435,POINT (365846.3384976996 4729821.646813435)
129,150,7950,225,8025,365996.3384976996,4729821.646813435,POINT (365996.3384976996 4729821.646813435)
130,150,8100,225,8175,366146.3384976996,4729821.646813435,POINT (366146.3384976996 4729821.646813435)
131,150,8250,225,8325,366296.3384976996,4729821.646813435,POINT (366296.3384976996 4729821.646813435)
132,150,8400,225,8475,366446.3384976996,4729821.646813435,POINT (366446.3384976996 4729821.646813435)
133,150,8550,225,8625,366596.3384976996,4729821.646813435,POINT (366596.3384976996 4729821.646813435)
134,150,8700,225,8775,366746.3384976996,4729821.646813435,POINT (366746.3384976996 4729821.646813435)
135,150,8850,225,8925,366896.3384976996,4729821.646813435,POINT (366896.3384976996 4729821.646813435)
136,150,9000,225,9075,367046.3384976996,4729821.646813435,POINT (367046.3384976996 4729821.646813435)
137,150,9150,225,9225,367196.3384976996,4729821.646813435,POINT (367196.3384976996 4729821.646813435)
138,150,9300,225,9375,367346.3384976996,4729821.646813435,POINT (367346.3384976996 4729821.646813435)
139,150,9450,225,9525,367496.3384976996,4729821.646813435,POINT (367496.3384976996 4729821.646813435)
140,150,9600,225,9675,367646.3384976996,4729821.646813435,POINT (367646.3384976996 4729821.646813435)
141,150,9750,225,9825,367796.3384976996,4729821.646813435,POINT (367796.3384976996 4729821.646813435)
142,150,9900,225,9975,367946.3384976996,4729821.646813435,POINT (367946.3384976996 4729821.646813435)
143,150,10050,225,10125,368096.3384976996,4729821.646813435,POINT (368096.3384976996 4729821.646813435)
144,150,10200,225,10275,368246.3384976996,4729821.646813435,POINT (368246.3384976996 4729821.646813435)
145,150,10350,225,10425,368396.3384976996,4729821.646813435,POINT (368396.3384976996 4729821.646813435)
146,150,10500,225,10575,368546.3384976996,4729821.646813435,POINT (368546.3384976996 4729821.646813435)
147,150,10650,225,10725,368696.3384976996,4729821.646813435,POINT (368696.3384976996 4729821.646813435)
148,150,10800,225,10875,368846.3384976996,4729821.646813435,POINT (368846.3384976996 4729821.646813435)
149,150,10950,225,11025,368996.3384976996,4729821.646813435,POINT (368996.3384976996 4729821.646813435)
150,150,11100,225,11175,369146.3384976996,4729821.646813435,POINT (369146.3384976996 4729821.646813435)
151,300,0,375,75,358046.3384976996,4729671.646813435,POINT (358046.3384976996 4729671.646813435)
152,300,150,375,225,358196.3384976996,4729671.646813435,POINT (358196.3384976996 4729671.646813435)
153,300,300,375,375,358346.3384976996,4729671.646813435,POINT (358346.3384976996 4729671.646813435)
154,300,450,375,525,358496.3384976996,4729671.646813435,POINT (358496.3384976996 4729671.646813435)
155,300,600,375,675,358646.3384976996,4729671.646813435,POINT (358646.3384976996 4729671.646813435)
156,300,750,375,825,358796.3384976996,4729671.646813435,POINT (358796.3384976996 4729671.646813435)
157,300,900,375,975,358946.3384976996,4729671.646813435,POINT (358946.3384976996 4729671.646813435)
158,300,1050,375,1125,359096.3384976996,4729671.646813435,POINT (359096.3384976996 4729671.646813435)
159,300,1200,375,1275,359246.3384976996,4729671.646813435,POINT (359246.3384976996 4729671.646813435)
160,300,1350,375,1425,359396.3384976996,4729671.646813435,POINT (359396.3384976996 4729671.646813435)
161,300,1500,375,1575,359546.3384976996,4729671.646813435,POINT (359546.3384976996 4729671.646813435)
162,300,1650,375,1725,359696.3384976996,4729671.646813435,POINT (359696.3384976996 4729671.646813435)
163,300,1800,375,1875,359846.3384976996,4729671.646813435,POINT (359846.3384976996 4729671.646813435)
164,300,1950,375,2025,359996.3384976996,4729671.646813435,POINT (359996.3384976996 4729671.646813435)
165,300,2100,375,2175,360146.3384976996,4729671.646813435,POINT (360146.3384976996 4729671.646813435)
166,300,2250,375,2325,360296.3384976996,4729671.646813435,POINT (360296.3384976996 4729671.646813435)
167,300,2400,375,2475,360446.3384976996,4729671.646813435,POINT (360446.3384976996 4729671.646813435)
168,300,2550,375,2625,360596.3384976996,4729671.646813435,POINT (360596.3384976996 4729671.646813435)
169,300,2700,375,2775,360746.3384976996,4729671.646813435,POINT (360746.3384976996 4729671.646813435)
170,300,2850,375,2925,360896.3384976996,4729671.646813435,POINT (360896.3384976996 4729671.646813435)
171,300,3000,375,3075,361046.3384976996,4729671.646813435,POINT (361046.3384976996 4729671.646813435)
172,300,3150,375,3225,361196.3384976996,4729671.646813435,POINT (361196.3384976996 4729671.646813435)
173,300,3300,375,3375,361346.3384976996,4729671.646813435,POINT (361346.3384976996 4729671.646813435)
174,300,3450,375,3525,361496.3384976996,4729671.646813435,POINT (361496.3384976996 4729671.646813435)
175,300,3600,375,3675,361646.3384976996,4729671.646813435,POINT (361646.3384976996 4729671.646813435)
176,300,3750,375,3825,361796.3384976996,4729671.646813435,POINT (361796.3384976996 4729671.646813435)
177,300,3900,375,3975,361946.3384976996,4729671.646813435,POINT (361946.3384976996 4729671.646813435)
178,300,4050,375,4125,362096.3384976996,4729671.646813435,POINT (362096.3384976996 4729671.646813435)
179,300,4200,375,4275,362246.3384976996,4729671.646813435,POINT (362246.3384976996 4729671.646813435)
180,300,4350,375,4425,362396.3384976996,4729671.646813435,POINT (362396.3384976996 4729671.646813435)
181,300,4500,375,4575,362546.3384976996,4729671.646813435,POINT (362546.3384976996 4729671.646813435)
182,300,4650,375,4725,362696.3384976996,4729671.646813435,POINT (362696.3384976996 4729671.646813435)
183,300,4800,375,4875,362846.3384976996,4729671.646813435,POINT (362846.3384976996 4729671.646813435)
184,300,4950,375,5025,362996.3384976996,4729671.646813435,POINT (362996.3384976996 4729671.646813435)
185,300,5100,375,5175,363146.3384976996,4729671.646813435,POINT (363146.3384976996 4729671.646813435)
186,300,5250,375,5325,363296.3384976996,4729671.646813435,POINT (363296.3384976996 4729671.646813435)
187,300,5400,375,5475,363446.3384976996,4729671.646813435,POINT (363446.3384976996 4729671.646813435)
188,300,5550,375,5625,363596.3384976996,4729671.646813435,POINT (363596.3384976996 4729671.646813435)
189,300,5700,375,5775,363746.3384976996,4729671.646813435,POINT (363746.3384976996 4729671.646813435)
190,300,5850,375,5925,363896.3384976996,4729671.646813435,POINT (363896.3384976996 4729671.646813435)
191,300,6000,375,6075,364046.3384976996,4729671.646813435,POINT (364046.3384976996 4729671.646813435)
192,300,6150,375,6225,364196.3384976996,4729671.646813435,POINT (364196.3384976996 4729671.646813435)
193,300,6300,375,6375,364346.3384976996,4729671.646813435,POINT (364346.3384976996 4729671.646813435)
194,300,6450,375,6525,364496.3384976996,4729671.646813435,POINT (364496.3384976996 4729671.646813435)
195,300,6600,375,6675,364646.3384976996,4729671.646813435,POINT (364646.3384976996 4729671.646813435)
196,300,6750,375,6825,364796.3384976996,4729671.646813435,POINT (364796.3384976996 4729671.646813435)
197,300,6900,375,6975,364946.3384976996,4729671.646813435,POINT (364946.3384976996 4729671.646813435)
198,300,7050,375,7125,365096.3384976996,4729671.646813435,POINT (365096.3384976996 4729671.646813435)
199,300,7200,375,7275,365246.3384976996,4729671.646813435,POINT (365246.3384976996 4729671.646813435)
200,300,7350,375,7425,365396.3384976996,4729671.646813435,POINT (365396.3384976996 4729671.646813435)
201,300,7500,375,7575,365546.3384976996,4729671.646813435,POINT (365546.3384976996 4729671.646813435)
202,300,7650,375,7725,365696.3384976996,4729671.646813435,POINT (365696.3384976996 4729671.646813435)
203,300,7800,375,7875,365846.3384976996,4729671.646813435,POINT (365846.3384976996 4729671.646813435)
204,300,7950,375,8025,365996.3384976996,4729671.646813435,POINT (365996.3384976996 4729671.646813435)
205,300,8100,375,8175,366146.3384976996,4729671.646813435,POINT (366146.3384976996 4729671.646813435)
206,300,8250,375,8325,366296.3384976996,4729671.646813435,POINT (366296.3384976996 4729671.646813435)
207,300,8400,375,8475,366446.3384976996,4729671.646813435,POINT (366446.3384976996 4729671.646813435)
208,300,8550,375,8625,366596.3384976996,4729671.646813435,POINT (366596.3384976996 4729671.646813435)
209,300,8700,375,8775,366746.3384976996,4729671.646813435,POINT (366746.3384976996 4729671.646813435)
210,300,8850,375,8925,366896.3384976996,4729671.646813435,POINT (366896.3384976996 4729671.646813435)
211,300,9000,375,9075,367046.3384976996,4729671.646813435,POINT (367046.3384976996 4729671.646813435)
212,300,9150,375,9225,367196.3384976996,4729671.646813435,POINT (367196.3384976996 4729671.646813435)
213,300,9300,375,9375,367346.3384976996,4729671.646813435,POINT (367346.3384976996 4729671.646813435)
214,300,9450,375,9525,367496.3384976996,4729671.646813435,POINT (367496.3384976996 4729671.646813435)
215,300,9600,375,9675,367646.3384976996,4729671.646813435,POINT (367646.3384976996 4729671.646813435)
216,300,9750,375,9825,367796.3384976996,4729671.646813435,POINT (367796.3384976996 4729671.646813435)
217,300,9900,375,9975,367946.3384976996,4729671.646813435,POINT (367946.3384976996 4729671.646813435)
218,300,10050,375,10125,368096.3384976996,4729671.646813435,POINT (368096.3384976996 4729671.646813435)
219,300,10200,375,10275,368246.3384976996,4729671.646813435,POINT (368246.3384976996 4729671.646813435)
220,300,10350,375,10425,368396.3384976996,4729671.646813435,POINT (368396.3384976996 4729671.646813435)
221,300,10500,375,10575,368546.3384976996,4729671.646813435,POINT (368546.3384976996 4729671.646813435)
222,300,10650,375,10725,368696.3384976996,4729671.646813435,POINT (368696.3384976996 4729671.646813435)
223,300,10800,375,10875,368846.3384976996,4729671.646813435,POINT (368846.3384976996 4729671.646813435)
224,300,10950,375,11025,368996.3384976996,4729671.646813435,POINT (368996.3384976996 4729671.646813435)
225,300,11100,375,11175,369146.3384976996,4729671.646813435,POINT (369146.3384976996 4729671.646813435)
226,450,0,525,75,358046.3384976996,4729521.646813435,POINT (358046.3384976996 4729521.646813435)
227,450,150,525,225,358196.3384976996,4729521.646813435,POINT (358196.3384976996 4729521.646813435)
228,450,300,525,375,358346.3384976996,4729521.646813435,POINT (358346.3384976996 4729521.646813435)
229,450,450,525,525,358496.3384976996,4729521.646813435,POINT (358496.3384976996 4729521.646813435)
230,450,600,525,675,358646.3384976996,4729521.646813435,POINT (358646.3384976996 4729521.646813435)
231,450,750,525,825,358796.3384976996,4729521.646813435,POINT (358796.3384976996 4729521.646813435)
232,450,900,525,975,358946.3384976996,4729521.646813435,POINT (358946.3384976996 4729521.646813435)
233,450,1050,525,1125,359096.3384976996,4729521.646813435,POINT (359096.3384976996 4729521.646813435)
234,450,1200,525,1275,359246.3384976996,4729521.646813435,POINT (359246.3384976996 4729521.646813435)
235,450,1350,525,1425,359396.3384976996,4729521.646813435,POINT (359396.3384976996 4729521.646813435)
236,450,1500,525,1575,359546.3384976996,4729521.646813435,POINT (359546.3384976996 4729521.646813435)
237,450,1650,525,1725,359696.3384976996,4729521.646813435,POINT (359696.3384976996 4729521.646813435)
238,450,1800,525,1875,359846.3384976996,4729521.646813435,POINT (359846.3384976996 4729521.646813435)
239,450,1950,525,2025,359996.3384976996,4729521.646813435,POINT (359996.3384976996 4729521.646813435)
240,450,2100,525,2175,360146.3384976996,4729521.646813435,POINT (360146.3384976996 4729521.646813435)
241,450,2250,525,2325,360296.3384976996,4729521.646813435,POINT (360296.3384976996 4729521.646813435)
242,450,2400,525,2475,360446.3384976996,4729521.646813435,POINT (360446.3384976996 4729521.646813435)
243,450,2550,525,2625,360596.3384976996,4729521.646813435,POINT (360596.3384976996 4729521.646813435)
244,450,2700,525,2775,360746.3384976996,4729521.646813435,POINT (360746.3384976996 4729521.646813435)
245,450,2850,525,2925,360896.3384976996,4729521.646813435,POINT (360896.3384976996 4729521.646813435)
246,450,3000,525,3075,361046.3384976996,4729521.646813435,POINT (361046.3384976996 4729521.646813435)
247,450,3150,525,3225,361196.3384976996,4729521.646813435,POINT (361196.3384976996 4729521.646813435)
248,450,3300,525,3375,361346.3384976996,4729521.646813435,POINT (361346.3384976996 4729521.646813435)
249,450,3450,525,3525,361496.3384976996,4729521.646813435,POINT (361496.3384976996 4729521.646813435)
250,450,3600,525,3675,361646.3384976996,4729521.646813435,POINT (361646.3384976996 4729521.646813435)
251,450,3750,525,3825,361796.3384976996,4729521.646813435,POINT (361796.3384976996 4729521.646813435)
252,450,3900,525,3975,361946.3384976996,4729521.646813435,POINT (361946.3384976996 4729521.646813435)
253,450,4050,525,4125,362096.3384976996,4729521.646813435,POINT (362096.3384976996 4729521.646813435)
254,450,4200,525,4275,362246.3384976996,4729521.646813435,POINT (362246.3384976996 4729521.646813435)
255,450,4350,525,4425,362396.3384976996,4729521.646813435,POINT (362396.3384976996 4729521.646813435)
256,450,4500,525,4575,362546.3384976996,4729521.646813435,POINT (362546.3384976996 4729521.646813435)
257,450,4650,525,4725,362696.3384976996,4729521.646813435,POINT (362696.3384976996 4729521.646813435)
258,450,4800,525,4875,362846.3384976996,4729521.646813435,POINT (362846.3384976996 4729521.646813435)
259,450,4950,525,5025,362996.3384976996,4729521.646813435,POINT (362996.3384976996 4729521.646813435)
260,450,5100,525,5175,363146.3384976996,4729521.646813435,POINT (363146.3384976996 4729521.646813435)
261,450,5250,525,5325,363296.3384976996,4729521.646813435,POINT (363296.3384976996 4729521.646813435)
262,450,5400,525,5475,363446.3384976996,4729521.646813435,POINT (363446.3384976996 4729521.646813435)
263,450,5550,525,5625,363596.3384976996,4729521.646813435,POINT (363596.3384976996 4729521.646813435)
264,450,5700,525,5775,363746.3384976996,4729521.646813435,POINT (363746.3384976996 4729521.646813435)
265,450,5850,525,5925,363896.3384976996,4729521.646813435,POINT (363896.3384976996 4729521.646813435)
266,450,6000,525,6075,364046.3384976996,4729521.646813435,POINT (364046.3384976996 4729521.646813435)
267,450,6150,525,6225,364196.3384976996,4729521.646813435,POINT (364196.3384976996 4729521.646813435)
268,450,6300,525,6375,364346.3384976996,4729521.646813435,POINT (364346.3384976996 4729521.646813435)
269,450,6450,525,6525,364496.3384976996,4729521.646813435,POINT (364496.3384976996 4729521.646813435)
270,450,6600,525,6675,364646.3384976996,4729521.646813435,POINT (364646.3384976996 4729521.646813435)
271,450,6750,525,6825,364796.3384976996,4729521.646813435,POINT (364796.3384976996 4729521.646813435)
272,450,6900,525,6975,364946.3384976996,4729521.646813435,POINT (364946.3384976996 4729521.646813435)
273,450,7050,525,7125,365096.3384976996,4729521.646813435,POINT (365096.3384976996 4729521.646813435)
274,450,7200,525,7275,365246.3384976996,4729521.646813435,POINT (365246.3384976996 4729521.646813435)
275,450,7350,525,7425,365396.3384976996,4729521.646813435,POINT (365396.3384976996 4729521.646813435)
